code_commune,nom_commune,total_travailleurs_entrants
95177,Cormeilles-en-Vexin,238
77282,Mauregard,237
77352,Ozouer-le-Voulgis,235
78140,Chapet,235
77216,Grez-sur-Loing,234
95523,La Roche-Guyon,234
77318,Mortcerf,231
77483,Varreddes,230
78576,Saint-Rémy-l'Honoré,230
77006,Arbonne-la-Forêt,228
77354,Pamfou,228
78623,Le Tremblay-sur-Mauldre,227
95271,Génicourt,227
91244,Fontenay-le-Vicomte,226
77440,Sammeron,222
78262,Galluis,221
78562,Saint-Léger-en-Yvelines,221
77397,Saâcy-sur-Marne,220
78128,Cernay-la-Ville,219
77462,Thieux,218
77404,Sainte-Colombe,214
91525,Roinville,214
77255,Livry-sur-Seine,213
91132,Chamarande,211
95120,Butry-sur-Oise,211
77239,Jouy-le-Châtel,209
91017,Angervilliers,209
91593,Sermaise,208
77512,Villeneuve-sur-Bellot,208
77400,Saint-Augustin,206
77264,Lumigny-Nesles-Ormeaux,206
91635,Vauhallan,204
77148,Crouy-sur-Ourcq,201
77270,Maisoncelles-en-Brie,201
77405,Saint-Cyr-sur-Morin,197
77240,Jouy-sur-Morin,197
91378,Mauchamps,196
78384,Médan,196
77001,Achères-la-Forêt,195
77433,Beautheil-Saints,192
77081,Champdeuil,192
77254,Liverdy-en-Brie,188
91568,Saint-Maurice-Montcouronne,187
91175,Corbreuse,186
95353,Maffliers,185
77244,Larchant,184
77208,Gouaix,182
77032,Beton-Bazoches,179
77232,Isles-lès-Villenoy,178
77348,Ormesson,177
77141,Coutevroult,177
77492,Verdelot,176
77519,Villiers-Saint-Georges,176
78522,Rochefort-en-Yvelines,174
77415,Saint-Jean-les-Deux-Jumeaux,173
95592,Seraincourt,170
77432,Saint-Rémy-de-la-Vanne,170
77506,Villemer,169
78281,Goussonville,169
78296,Guitrancourt,167
95625,Us,167
77347,Les Ormes-sur-Voulzie,166
77201,Gastins,165
95028,Attainville,165
77478,Ussy-sur-Marne,164
91047,Baulne,164
78239,Follainville-Dennemont,164
95436,Mours,163
95074,Boisemont,162
91463,Oncy-sur-École,162
77357,Pécy,162
78334,Lévis-Saint-Nom,161
77427,Saint-Mesmes,160
78007,Aigremont,159
77403,Saint-Brice,159
78020,Arnouville-lès-Mantes,158
78346,Longnes,157
95628,Valmondois,157
77343,Ocquerre,156
77034,Blandy,155
77223,Gurcy-le-Châtel,154
